pres
,გცრი,ვცრი,,გცრით,ვცრი,
მცრი,,ცრი,გვცრი,,ცრი,
მცრის,გცრის,ცრის,გვცრის,გცრით,ცრის,
,გცრით,ვცრით,,გცრით,ვცრით,
მცრით,,ცრით,გვცრით,,ცრით,
მცრიან,გცრიან,ცრიან,გვცრიან,გცრიან,ცრიან,
fut
,აგცრი,ავცრი,,აგცრით,ავცრი,
ამცრი,,აცრი,აგვცრი,,აცრი,
ამცრის,აგცრის,აცრის,აგვცრის,აგცრით,აცრის,
,აგცრით,ავცრით,,აგცრით,ავცრით,
ამცრით,,აცრით,აგვცრით,,აცრით,
ამცრიან,აგცრიან,აცრიან,აგვცრიან,აგცრიან,აცრიან,
impf
,გცრიდი,ვცრიდი,,გცრიდით,ვცრიდი,
მცრიდი,,ცრიდი,გვცრიდი,,ცრიდი,
მცრიდა,გცრიდა,ცრიდა,გვცრიდა,გცრიდათ,ცრიდა,
,გცრიდით,ვცრიდით,,გცრიდით,ვცრიდით,
მცრიდით,,ცრიდით,გვცრიდით,,ცრიდით,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
cond
,აგცრიდი,ავცრიდი,,აგცრიდით,ავცრიდი,
ამცრიდი,,აცრიდი,აგვცრიდი,,აცრიდი,
ამცრიდა,აგცრიდა,აცრიდა,აგვცრიდა,აგცრიდათ,აცრიდა,
,აგცრიდით,ავცრიდით,,აგცრიდით,ავცრიდით,
ამცრიდით,,აცრიდით,აგვცრიდით,,აცრიდით,
ამცრიდნენ,აგცრიდნენ,აცრიდნენ,აგვცრიდნენ,აგცრიდნენ,აცრიდნენ,
subj
,გცრიდე,ვცრიდე,,გცრიდეთ,ვცრიდე,
მცრიდე,,ცრიდე,გვცრიდე,,ცრიდე,
მცრიდეს,გცრიდეს,ცრიდეს,გვცრიდეს,გცრიდეთ,ცრიდეს,
,გცრიდეთ,ვცრიდეთ,,გცრიდეთ,ვცრიდეთ,
მცრიდეთ,,ცრიდეთ,გვცრიდეთ,,ცრიდეთ,
მცრიდნენ,გცრიდნენ,ცრიდნენ,გვცრიდნენ,გცრიდნენ,ცრიდნენ,
fut_subj
,აგცრიდე,ავცრიდე,,აგცრიდეთ,ავცრიდე,
ამცრიდე,,აცრიდე,აგვცრიდე,,აცრიდე,
ამცრიდეს,აგცრიდეს,აცრიდეს,აგვცრიდეს,აგცრიდეთ,აცრიდეს,
,აგცრიდეთ,ავცრიდეთ,,აგცრიდეთ,ავცრიდეთ,
ამცრიდეთ,,აცრიდეთ,აგვცრიდეთ,,აცრიდეთ,
ამცრიდნენ,აგცრიდნენ,აცრიდნენ,აგვცრიდნენ,აგცრიდნენ,აცრიდნენ,
aor
,გცერი,ვცერი,,გცერით,ვცერი,
მცერი,,ცერი,გვცერი,,ცერი,
მცრა,გცრა,ცრა,გვცრა,გცრათ,ცრა,
,გცერით,ვცერით,,გცერით,ვცერით,
მცერით,,ცერით,გვცერით,,ცერით,
მცრეს,გცრეს,ცრეს,გვცრეს,გცრეს,ცრეს,
aor_prfv
,აგცერი,ავცერი,,აგცერით,ავცერი,
ამცერი,,აცერი,აგვცერი,,აცერი,
ამცრა,აგცრა,აცრა,აგვცრა,აგცრათ,აცრა,
,აგცერით,ავცერით,,აგცერით,ავცერით,
ამცერით,,აცერით,აგვცერით,,აცერით,
ამცრეს,აგცრეს,აცრეს,აგვცრეს,აგცრეს,აცრეს,
IIsubj
,გცრა,ვცრა,,გცრათ,ვცრა,
მცრა,,ცრა,გვცრა,,ცრა,
მცრას,გცრას,ცრას,გვცრას,გცრათ,ცრას,
,გცრათ,ვცრათ,,გცრათ,ვცრათ,
მცრათ,,ცრათ,გვცრათ,,ცრათ,
მცრან,გცრან,ცრან,გვცრან,გცრან,ცრან,
IIsubj_prfv
,აგცრა,ავცრა,,აგცრათ,ავცრა,
ამცრა,,აცრა,აგვცრა,,აცრა,
ამცრას,აგცრას,აცრას,აგვცრას,აგცრათ,აცრას,
,აგცრათ,ავცრათ,,აგცრათ,ავცრათ,
ამცრათ,,აცრათ,აგვცრათ,,აცრათ,
ამცრან,აგცრან,აცრან,აგვცრან,აგცრან,აცრან,
Iturm
,მიცრიხარ,მიცრია,,მიცრიხართ,მიცრია,
გიცრივარ,,გიცრია,გიცრივართ,,გიცრია,
ვუცრივარ,უცრიხარ,უცრია,ვუცრივართ,უცრიხართ,უცრია,
,გვიცრიხარ,გვიცრია,,გვიცრიხართ,გვიცრია,
გიცრივართ,,გიცრიათ,გიცრივართ,,გიცრიათ,
ვუცრივარ,უცრიხარ,უცრიათ,ვუცრივართ,უცრიხართ,უცრიათ,
Iturm_prfv
,ამიცრიხარ,ამიცრია,,ამიცრიხართ,ამიცრია,
აგიცრივარ,,აგიცრია,აგიცრივართ,,აგიცრია,
ავუცრივარ,აუცრიხარ,აუცრია,ავუცრივართ,აუცრიხართ,აუცრია,
,აგვიცრიხარ,აგვიცრია,,აგვიცრიხართ,აგვიცრია,
აგიცრივართ,,აგიცრიათ,აგიცრივართ,,აგიცრიათ,
ავუცრივარ,აუცრიხარ,აუცრიათ,ავუცრივართ,აუცრიხართ,აუცრიათ,
IIturm
,მეცერი,მეცრა,,მეცერით,მეცრა,
გეცერი,,გეცრა,გეცერით,,გეცრა,
ვეცერი,ეცერი,ეცრა,ვეცერით,ეცერით,ეცრა,
,გვეცერი,გვეცრა,,გვეცერით,გვეცრა,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIturm_prfv
,ამეცერი,ამეცრა,,ამეცერით,ამეცრა,
აგეცერი,,აგეცრა,აგეცერით,,აგეცრა,
ავეცერი,აეცერი,აეცრა,ავეცერით,აეცერით,აეცრა,
,აგვეცერი,აგვეცრა,,აგვეცერით,აგვეცრა,
აგეცერით,,აგეცრათ,აგეცერით,,აგეცრათ,
ავეცერი,აეცერი,აეცრათ,ავეცერით,აეცერით,აეცრათ,
IIIsubj
,მეცერი,მეცრას,,მეცერით,მეცრას,
გეცერი,,გეცრას,გეცერით,,გეცრას,
ვეცერი,ეცერი,ეცრას,ვეცერით,ეცერით,ეცრას,
,გვეცერი,გვეცრას,,გვეცერით,გვეცრას,
გეცერით,,გეცრათ,გეცერით,,გეცრათ,
ვეცერი,ეცერი,ეცრათ,ვეცერით,ეცერით,ეცრათ,
IIIsubj_prfv
,ამეცერი,ამეცრას,,ამეცერით,ამეცრას,
აგეცერი,,აგეცრას,აგეცერით,,აგეცრას,
ავეცერი,აეცერი,აეცრას,ავეცერით,აეცერით,აეცრას,
,აგვეცერი,აგვეცრას,,აგვეცერით,აგვეცრას,
აგეცერით,,აგეცრათ,აგეცერით,,აგეცრათ,
ავეცერი,აეცერი,აეცრათ,ავეცერით,აეცერით,აეცრათ,
